Item_Weight,Item_Fat_Content,Item_Visibility,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
9,Low Fat,0.143870574,,Tier 3,Grocery Store,572.5008182
6.42,Low Fat,0.053553794,Medium,Tier 1,Supermarket Type1,2059.766034
16.75,LF,0.075889215,,Tier 2,Supermarket Type1,1582.18802
7.39,Low Fat,0.120280989,Small,Tier 1,Supermarket Type1,1831.827964
19.2,Low Fat,0.182653772,Small,Tier 1,Supermarket Type1,1897.08342
,Low Fat,0.25637539,Small,Tier 1,Grocery Store,1096.113575
5.46,Regular,0.107036943,Small,Tier 2,Supermarket Type1,1572.236189
17.5,Low Fat,0,High,Tier 3,Supermarket Type1,1900
12.3,Regular,0.106238768,High,Tier 3,Supermarket Type1,1972.705777
17,Low Fat,0.055545797,,Tier 2,Supermarket Type1,1557.045534
,Low Fat,0.019386057,Medium,Tier 3,Supermarket Type3,822.119491
19.7,Low Fat,0.064921764,Small,Tier 1,Supermarket Type1,1770.31027
19.6,Low Fat,0.094694278,,Tier 2,Supermarket Type1,1608.89842
14.5,Low Fat,0.019554705,Medium,Tier 3,Supermarket Type2,1220.982198
19.35,Low Fat,0.033060937,High,Tier 3,Supermarket Type1,1938.218443
9.195,Regular,0.078181964,Medium,Tier 1,Supermarket Type1,2034.827431
16.25,LF,0,Medium,Tier 3,Supermarket Type2,1200
20.7,Regular,0.100583009,Medium,Tier 3,Supermarket Type2,1270.599028
20,low fat,0.136124989,,Tier 3,Grocery Store,539.1197388
,Regular,0.021353642,Medium,Tier 3,Supermarket Type3,775.0264684
11.8,Low Fat,0.115167579,Small,Tier 1,Supermarket Type1,1825.071991
11.8,Low Fat,0.113559058,,Tier 2,Supermarket Type1,1616.398034
19.1,Low Fat,0.038641968,,Tier 2,Supermarket Type1,1544.786041
15.5,Regular,0.157246634,,Tier 2,Supermarket Type1,1636.809001
9.5,Regular,0.010917052,Small,Tier 1,Supermarket Type1,1662.991292
12.85,Low Fat,0.033172957,Small,Tier 2,Supermarket Type1,1536.954674
11.65,Regular,0.058719726,Small,Tier 2,Supermarket Type1,1520.287512
15.6,Low Fat,0,Medium,Tier 3,Supermarket Type2,1200
18.85,Low Fat,0.141524348,High,Tier 3,Supermarket Type1,2049.73276
6.865,Regular,0.035895934,Medium,Tier 1,Supermarket Type1,1986.577957
11.65,Low Fat,0.039980644,Medium,Tier 1,Supermarket Type1,2046.697392
,Low Fat,0,Small,Tier 1,Grocery Store,800
20.5,Low Fat,0,,Tier 3,Grocery Store,400
20.35,Low Fat,0.054056927,Small,Tier 1,Supermarket Type1,1759.46262
10.895,Regular,0.009636821,Medium,Tier 1,Supermarket Type1,1961.101618
7.3,Low Fat,0.086266286,Medium,Tier 1,Supermarket Type1,2088.768008
11.1,Low Fat,0.033081389,High,Tier 3,Supermarket Type1,1938.374411
7.06,Regular,0.043989429,,Tier 2,Supermarket Type1,1495.880974
9.8,Low Fat,0.047178116,Small,Tier 2,Supermarket Type1,1549.395487
9.5,Low Fat,0.074496043,,Tier 2,Supermarket Type1,1579.785262
17.6,Regular,0.039189221,High,Tier 3,Supermarket Type1,1895.968956
11.8,Low Fat,0.115819014,,Tier 2,Supermarket Type1,1623.115612
9.695,Regular,0.129008866,,Tier 2,Supermarket Type1,1599.779293
16.5,Regular,0.160371305,Medium,Tier 3,Supermarket Type2,1313.41836
,Regular,0.085392428,Medium,Tier 3,Supermarket Type3,845.6395194
9,Low Fat,0.038925251,Small,Tier 1,Supermarket Type1,1744.25801
12.6,Regular,0.041557653,Small,Tier 1,Supermarket Type1,1698.082205
,Low Fat,0.060237465,Small,Tier 1,Grocery Store,863.731238
14.35,Regular,0.091098018,,Tier 2,Supermarket Type1,1543.011076
13.6,Low Fat,0.117874024,,Tier 2,Supermarket Type1,1636.49812
13.85,Low Fat,0.030795085,Small,Tier 1,Supermarket Type1,1732.273249
16.1,Regular,0.063689583,,Tier 2,Supermarket Type1,1517.956785
18.25,Regular,0.184041545,Medium,Tier 3,Supermarket Type2,1364.224358
12.15,reg,0.13283066,,Tier 2,Supermarket Type1,1604.747719
15.35,Low Fat,0.020441939,,Tier 2,Supermarket Type1,1524.469001
,Low Fat,0.037712875,Medium,Tier 3,Supermarket Type3,842.0498556
15.35,Low Fat,0.013840784,,Tier 2,Supermarket Type1,1515.307907
18.25,Low Fat,0.060198496,High,Tier 3,Supermarket Type1,1969.168072
11.8,Low Fat,0.008559557,Small,Tier 2,Supermarket Type1,1510.23723
9.27,Low Fat,0.061883353,Medium,Tier 1,Supermarket Type1,2067.205321
,Low Fat,0.052085615,Medium,Tier 3,Supermarket Type3,854.2732108
12.8,Regular,0.039385992,,Tier 3,Grocery Store,393.1670472
15,Low Fat,0.064241345,Medium,Tier 1,Supermarket Type1,2065.975861
12.5,Low Fat,0.006759519,High,Tier 3,Supermarket Type1,1906.942026
17.35,Low Fat,0.167243769,High,Tier 3,Supermarket Type1,2085.807827
7.975,Low Fat,0.01469075,Medium,Tier 3,Supermarket Type2,1217.43792
10.5,Regular,0.013551445,Medium,Tier 3,Supermarket Type2,1165.529956
,Low Fat,0.105085956,Medium,Tier 3,Supermarket Type3,916.7504971
14.35,Low Fat,0.017038777,Small,Tier 1,Supermarket Type1,1717.992949
12.35,Regular,0.038718195,,Tier 2,Supermarket Type1,1493.906433
10.195,Regular,0.075291577,,Tier 3,Grocery Store,435.1547736
18.5,Regular,0,,Tier 2,Supermarket Type1,1450
11.5,Low Fat,0,Medium,Tier 3,Supermarket Type2,1200
12.5,Regular,0.082085787,Medium,Tier 3,Supermarket Type2,1239.555594
,LF,0.095931002,Medium,Tier 3,Supermarket Type3,915.0212714
10.695,Regular,0.011448629,,Tier 2,Supermarket Type1,1462.215687
14.15,Low Fat,0.00879232,Small,Tier 2,Supermarket Type1,1509.970491
17.6,Low Fat,0.049167388,,Tier 2,Supermarket Type1,1557.575011
,Low Fat,0.079046992,Medium,Tier 3,Supermarket Type3,883.7898115
6.215,Regular,0.049580407,High,Tier 3,Supermarket Type1,1908.306559
18.1,Low Fat,0.022399592,Small,Tier 1,Supermarket Type1,1724.393156
11.65,Low Fat,0.033926852,,Tier 2,Supermarket Type1,1537.998074
7.42,Regular,0.021617397,,Tier 2,Supermarket Type1,1474.622215
20,Low Fat,0.0814536,Medium,Tier 1,Supermarket Type1,2085.607734
17.75,LF,0.07607772,Medium,Tier 1,Supermarket Type1,2081.479238
14,Regular,0.135775701,Small,Tier 1,Supermarket Type1,1792.292935
15.35,Regular,0,Medium,Tier 1,Supermarket Type1,1950
6.13,Low Fat,0.076891526,,Tier 2,Supermarket Type1,1583.11974
9.695,Regular,0.128543405,,Tier 2,Supermarket Type1,1588.826877
20.25,Regular,0.014793357,Small,Tier 1,Supermarket Type1,1667.204674
,Regular,0.066406853,Medium,Tier 3,Supermarket Type3,822.1178424
15.85,Regular,0.007140468,High,Tier 3,Supermarket Type1,1857.140468
19.85,Regular,0.020858779,High,Tier 3,Supermarket Type1,1874.634218
4.61,Low Fat,0.123346085,,Tier 2,Supermarket Type1,1637.407539
7.365,Low Fat,0.159937597,Small,Tier 2,Supermarket Type1,1682.168923
,Low Fat,0.067128641,Medium,Tier 3,Supermarket Type3,877.6678376
18.85,low fat,0.042736348,,Tier 2,Supermarket Type1,1546.112519
,Regular,0.172629683,Medium,Tier 3,Supermarket Type3,950.7683213
11.3,Low Fat,0.007278512,Small,Tier 2,Supermarket Type1,1508.690543
7.405,Low Fat,0,,Tier 2,Supermarket Type1,1500
15.7,Regular,0.03079807,,Tier 2,Supermarket Type1,1481.106051
7.72,Low Fat,0.12152072,Small,Tier 1,Supermarket Type1,1831.849981
6.65,Low Fat,0.053591345,,Tier 2,Supermarket Type1,1560.933359
10.6,low fat,0.035163639,High,Tier 3,Supermarket Type1,1939.312948
,Low Fat,0.061470858,Small,Tier 1,Grocery Store,866.5729392
15.85,Low Fat,0.043226398,Small,Tier 2,Supermarket Type1,1547.678717
12.15,Low Fat,0.062640143,,Tier 2,Supermarket Type1,1573.664808
11.35,Regular,0.06358394,,Tier 2,Supermarket Type1,1519.370079
20.1,Low Fat,0.077389797,High,Tier 3,Supermarket Type1,1988.533928
15.7,Regular,0.00878535,,Tier 2,Supermarket Type1,1459.215832
,Regular,0.136592891,Small,Tier 1,Grocery Store,899.9789943
16.7,Regular,0.054937907,,Tier 2,Supermarket Type1,1508.563809
6.115,Regular,0.007084185,,Tier 2,Supermarket Type1,1458.231823
20.7,Low Fat,0.027052013,,Tier 2,Supermarket Type1,1532.273052
9.8,reg,0.072863893,Small,Tier 2,Supermarket Type1,1523.009621
,Low Fat,0.244102315,Small,Tier 1,Grocery Store,1087.064322
20.35,Low Fat,0.141789197,Small,Tier 2,Supermarket Type1,1646.184662
,Low Fat,0.035414528,Medium,Tier 3,Supermarket Type3,839.6288568
6.85,Low Fat,0.022864238,High,Tier 3,Supermarket Type1,1923.527301
20.35,Low Fat,0.054011943,High,Tier 3,Supermarket Type1,1959.899245
9.195,Regular,0.117462619,Small,Tier 2,Supermarket Type1,1581.088283
9.695,Low Fat,0.11411658,Medium,Tier 1,Supermarket Type1,2118.681243
,Low Fat,0.046124444,Small,Tier 1,Grocery Store,847.8771729
11.65,Regular,0.075849167,Small,Tier 1,Supermarket Type1,1738.895224
6.035,Regular,0.065729039,High,Tier 3,Supermarket Type1,1927.100163
18.2,Low Fat,0.097865088,,Tier 3,Grocery Store,505.1071045
,LF,0.058827583,Small,Tier 1,Grocery Store,867.6517205
7.63,Low Fat,0.061313057,Medium,Tier 3,Supermarket Type2,1270.326076
6.385,Regular,0.123961415,,Tier 2,Supermarket Type1,1589.952438
9.6,Regular,0.014270394,Medium,Tier 3,Supermarket Type2,1165.683163
20.5,Low Fat,0.060847634,,Tier 3,Grocery Store,465.5329018
,Low Fat,0,Medium,Tier 3,Supermarket Type3,800
18.35,Low Fat,0.014103354,,Tier 2,Supermarket Type1,1515.118795
19.6,Low Fat,0.033901442,Small,Tier 1,Supermarket Type1,1736.410149
14.15,Regular,0.024454052,,Tier 2,Supermarket Type1,1474.527414
,Regular,0,Small,Tier 1,Grocery Store,750
,Regular,0.096730427,Medium,Tier 3,Supermarket Type3,858.6282695
17.6,Low Fat,0.097198194,Small,Tier 2,Supermarket Type1,1614.305076
19,Regular,0.066005186,,Tier 2,Supermarket Type1,1525.179907
8.42,Regular,0.030890618,Medium,Tier 1,Supermarket Type1,1985.431539
9.3,Low Fat,0.028498354,High,Tier 3,Supermarket Type1,1933.286077
19.75,LF,0.033883448,Small,Tier 2,Supermarket Type1,1537.881695
6.78,Low Fat,0.066565644,High,Tier 3,Supermarket Type1,1976.816753
,Low Fat,0.169943195,Small,Tier 1,Grocery Store,971.1327974
17.25,Low Fat,0,,Tier 2,Supermarket Type1,1500
15.3,Regular,0.084765192,Small,Tier 1,Supermarket Type1,1747.819032
15.7,Regular,0.027617046,Small,Tier 1,Supermarket Type1,1678.859813
17.85,Low Fat,0.052166995,Small,Tier 2,Supermarket Type1,1556.60119
,Regular,0,Medium,Tier 3,Supermarket Type3,750
15.3,Low Fat,0.038460297,,Tier 3,Grocery Store,445.844674
16.25,Low Fat,0.025789175,,Tier 2,Supermarket Type1,1529.580184
15,Regular,0.161301097,High,Tier 3,Supermarket Type1,2034.528455
13.85,Low Fat,0.034640466,,Tier 2,Supermarket Type1,1536.511051
,Low Fat,0,Medium,Tier 3,Supermarket Type3,800
13.8,Regular,0.064307102,Medium,Tier 1,Supermarket Type1,2023.824553
7.475,Low Fat,0.076036381,Medium,Tier 3,Supermarket Type2,1289.038602
18.7,Regular,0.071091591,,Tier 2,Supermarket Type1,1522.300148
12.5,Low Fat,0.187841082,,Tier 3,Grocery Store,623.3430465
15.85,Low Fat,0.043234574,Small,Tier 1,Supermarket Type1,1743.883093
,Low Fat,0.026055106,Medium,Tier 3,Supermarket Type3,827.4360266
20.75,Low Fat,0.109153001,Medium,Tier 3,Supermarket Type2,1310.244531
5.82,Low Fat,0.08062523,Small,Tier 2,Supermarket Type1,1595.863398
5.785,Regular,0.0901292,,Tier 3,Grocery Store,449.592766
13.1,Regular,0.098938169,Medium,Tier 1,Supermarket Type1,2052.598881
10.1,Regular,0,High,Tier 3,Supermarket Type1,1850
16.75,Low Fat,0.032580547,Small,Tier 2,Supermarket Type1,1538.086659
,Low Fat,0.097937252,Medium,Tier 3,Supermarket Type3,906.6536674
17.1,Regular,0,Medium,Tier 1,Supermarket Type1,1950
7.42,Low Fat,0.020391845,Small,Tier 1,Supermarket Type1,1722.920434
7.51,Low Fat,0.103813029,Small,Tier 1,Supermarket Type1,1823.433691
,Low Fat,0.031069203,Small,Tier 1,Grocery Store,832.4673171
,Low Fat,0.062294473,Small,Tier 1,Grocery Store,874.0681284
19.2,Regular,0.022914478,Small,Tier 2,Supermarket Type1,1476.787025
18.6,Low Fat,0.152058281,Small,Tier 1,Supermarket Type1,1881.709646
7.105,Low Fat,0.044991294,Medium,Tier 3,Supermarket Type2,1247.510806
4.92,Low Fat,0.046214971,,Tier 2,Supermarket Type1,1547.78628
11,Regular,0.13312044,Small,Tier 2,Supermarket Type1,1593.503834
7.68,Low Fat,0.255348289,,Tier 3,Grocery Store,700.5449362
13.15,Low Fat,0.036879539,,Tier 2,Supermarket Type1,1543.517856
7.52,Regular,0.044202545,Medium,Tier 3,Supermarket Type2,1198.269179
8.895,Regular,0.137858955,Medium,Tier 1,Supermarket Type1,2108.26208
4.805,Regular,0.037668051,High,Tier 3,Supermarket Type1,1895.201661
,Low Fat,0.224837308,Small,Tier 1,Grocery Store,1061.485789
7.785,Low Fat,0.089069748,Medium,Tier 3,Supermarket Type2,1289.336957
8.975,Regular,0.053027398,,Tier 2,Supermarket Type1,1511.14059
,Low Fat,0.118099673,Medium,Tier 3,Supermarket Type3,933.0983315
9.3,Low Fat,0,,Tier 2,Supermarket Type1,1500
10.895,Low Fat,0.137023446,Medium,Tier 1,Supermarket Type1,2154.014353
15,Regular,0.026950104,Medium,Tier 3,Supermarket Type2,1182.286225
12.15,Low Fat,0,Medium,Tier 3,Supermarket Type2,1200
16.7,Regular,0.119362812,High,Tier 3,Supermarket Type1,1991.086844
15.1,Regular,0.067350054,Medium,Tier 3,Supermarket Type2,1217.888854
8.02,Low Fat,0,High,Tier 3,Supermarket Type1,1900
19.35,reg,0.049712775,Medium,Tier 1,Supermarket Type1,2000.657318
20.7,Regular,0.122208091,,Tier 2,Supermarket Type1,1590.417097
,Low Fat,0.138742518,Medium,Tier 3,Supermarket Type3,944.1534762
4.59,Low Fat,0.070780558,Small,Tier 1,Supermarket Type1,1782.954814
18.1,Low Fat,0.037492325,,Tier 3,Grocery Store,443.9035126
12.85,Low Fat,0.053527105,Medium,Tier 1,Supermarket Type1,2059.736249
16.75,low fat,0.076164013,,Tier 2,Supermarket Type1,1578.601261
14.85,Regular,0.009995002,,Tier 2,Supermarket Type1,1461.784107
8.235,Low Fat,0.08259502,,Tier 2,Supermarket Type1,1595.810223
6.425,Low Fat,0.063122753,High,Tier 3,Supermarket Type1,1966.278891
6.59,Low Fat,0.105597316,Small,Tier 1,Supermarket Type1,1815.734658
,Regular,0.021863506,Medium,Tier 3,Supermarket Type3,771.9290965
,Low Fat,0.063800266,Medium,Tier 3,Supermarket Type3,876.2413179
6.36,Low Fat,0.006012413,,Tier 2,Supermarket Type1,1506.451319
17.35,Regular,0.063207198,,Tier 2,Supermarket Type1,1521.866584
8.6,Low Fat,0.069809115,,Tier 2,Supermarket Type1,1569.878924
17.7,Low Fat,0.011660463,Medium,Tier 3,Supermarket Type2,1213.001416
7.6,Regular,0.142410775,Small,Tier 1,Supermarket Type1,1802.094708
19.6,Low Fat,0.024226902,Small,Tier 1,Supermarket Type1,1725.72897
,Low Fat,0.082440705,Medium,Tier 3,Supermarket Type3,892.5809117
9.3,Low Fat,0.066918731,,Tier 2,Supermarket Type1,1579.834046
20.2,Low Fat,0.074390007,,Tier 2,Supermarket Type1,1574.464397
11.35,Regular,0.005530516,Small,Tier 1,Supermarket Type1,1655.668779
16.5,Low Fat,0.028579565,,Tier 2,Supermarket Type1,1529.522691
17.1,Low Fat,0.038705317,High,Tier 3,Supermarket Type1,1944.162767
4.88,Regular,0,Small,Tier 2,Supermarket Type1,1450
10.195,Low Fat,0.108004532,,Tier 2,Supermarket Type1,1621.721108
12.8,Regular,0.023626808,Medium,Tier 3,Supermarket Type2,1177.218083
,Low Fat,0.070660449,Small,Tier 1,Grocery Store,878.8570611
8.05,Regular,0.078719835,Medium,Tier 3,Supermarket Type2,1239.347013
20.6,reg,0.046208155,Medium,Tier 3,Supermarket Type2,1199.304101
6.32,Low Fat,0.012769753,Medium,Tier 3,Supermarket Type2,1213.94457
5.465,Regular,0.048486801,High,Tier 3,Supermarket Type1,1903.626402
18.25,Low Fat,0.132596101,,Tier 3,Grocery Store,544.1319618
14.5,Regular,0.128459481,Medium,Tier 1,Supermarket Type1,2097.214565
15.7,Low Fat,0.161317495,Medium,Tier 3,Supermarket Type2,1369.706005
9.6,Low Fat,0.011211251,,Tier 3,Grocery Store,412.1305736
20.7,reg,0.114294512,Medium,Tier 1,Supermarket Type1,2084.410346
6.055,Low Fat,0.031103357,Small,Tier 1,Supermarket Type1,1733.871556
5.655,LF,0.085274988,Small,Tier 1,Supermarket Type1,1794.399412
6.78,Low Fat,0.066892471,Medium,Tier 3,Supermarket Type2,1269.233707
,Low Fat,0.078764059,Small,Tier 1,Grocery Store,879.7092277
6.865,Regular,0.036042939,,Tier 2,Supermarket Type1,1493.251527
6.61,Regular,0.04855968,,Tier 3,Grocery Store,398.705359
,Low Fat,0.082602127,Medium,Tier 3,Supermarket Type3,884.0889653
12.6,Low Fat,0.064240743,,Tier 2,Supermarket Type1,1567.517021
6.055,Low Fat,0.031230059,Medium,Tier 3,Supermarket Type2,1232.947712
20.2,Low Fat,0.100114941,,Tier 2,Supermarket Type1,1602.417585
,Regular,0.22417463,Small,Tier 1,Grocery Store,1008.921698
14.15,Low Fat,0.035943717,Small,Tier 1,Supermarket Type1,1736.410985
16.5,Regular,0.06619442,High,Tier 3,Supermarket Type1,1916.19442
13.3,Regular,0.071439051,Small,Tier 2,Supermarket Type1,1525.29676
9.195,Low Fat,0.108059141,Medium,Tier 1,Supermarket Type1,2113.24598
,Low Fat,0.026216144,Medium,Tier 3,Supermarket Type3,827.9726256
9,Low Fat,0.085938463,Small,Tier 2,Supermarket Type1,1599.688617
15.7,Regular,0.008734284,Small,Tier 2,Supermarket Type1,1458.935173
18.1,Low Fat,0.049016517,Medium,Tier 1,Supermarket Type1,2053.133904
,Low Fat,0.111554381,Medium,Tier 3,Supermarket Type3,919.0285245
15.7,Regular,0.030672457,Medium,Tier 1,Supermarket Type1,1986.561569
9.195,Regular,0.077995641,High,Tier 3,Supermarket Type1,1928.931589
,Low Fat,0.085715273,Medium,Tier 3,Supermarket Type3,885.9724188
13.85,Regular,0.056432784,,Tier 2,Supermarket Type1,1517.719341
20.2,Low Fat,0.066200667,Medium,Tier 3,Supermarket Type2,1270.371309
,Regular,0.245542627,Small,Tier 1,Grocery Store,996.0337123
13.65,reg,0.0127517,Small,Tier 1,Supermarket Type1,1664.868482
15,Regular,0.077949334,High,Tier 3,Supermarket Type1,1931.846801
10.695,Low Fat,0.064022881,Medium,Tier 3,Supermarket Type2,1276.187228
,Regular,0.182407266,Medium,Tier 3,Supermarket Type3,946.81744
14,Regular,0.136328794,Medium,Tier 3,Supermarket Type2,1290.554987
6.655,Low Fat,0.016958832,Small,Tier 1,Supermarket Type1,1719.231315
16.5,Regular,0.068125756,Small,Tier 1,Supermarket Type1,1730.456518
9.6,Regular,0.02734361,Small,Tier 1,Supermarket Type1,1681.58187
6.55,Regular,0.034658144,Medium,Tier 1,Supermarket Type1,1987.673403
16.25,low fat,0,,Tier 2,Supermarket Type1,1500
15.25,Regular,0.065841719,High,Tier 3,Supermarket Type1,1917.619445
9.695,Regular,0.029158763,Small,Tier 2,Supermarket Type1,1479.916891
,Low Fat,0.063649582,Small,Tier 1,Grocery Store,875.1065068
16,LF,0.05706009,Small,Tier 1,Supermarket Type1,1768.357988
15.85,Low Fat,0.11566015,,Tier 3,Grocery Store,525.4912628
,Low Fat,0.075691713,Medium,Tier 3,Supermarket Type3,880.9144412
18.85,Low Fat,0.167844438,Medium,Tier 1,Supermarket Type1,2182.27906
6.215,Regular,0.049722335,,Tier 2,Supermarket Type1,1505.887905
,Low Fat,0.14095631,Medium,Tier 3,Supermarket Type3,946.4536061
11.8,Low Fat,0.058827557,Medium,Tier 1,Supermarket Type1,2062.827831
7.325,Low Fat,0.093765794,Medium,Tier 3,Supermarket Type2,1302.017184
10.5,Low Fat,0.048092816,Medium,Tier 1,Supermarket Type1,2057.182358
15.7,Regular,0.018968743,,Tier 2,Supermarket Type1,1472.174461
,Low Fat,0.024032484,Medium,Tier 3,Supermarket Type3,828.0459088
13,Regular,0.070444232,,Tier 2,Supermarket Type1,1527.418211
13.5,Regular,0.125469442,Medium,Tier 1,Supermarket Type1,2091.655
6.865,Low Fat,0.01405025,Medium,Tier 3,Supermarket Type2,1215.932984
7.785,Low Fat,0.139436695,High,Tier 3,Supermarket Type1,2051.985998
17.7,Regular,0.016593506,Small,Tier 2,Supermarket Type1,1466.792628
20.2,Low Fat,0.124261614,,Tier 3,Grocery Store,529.8533866
7.855,Low Fat,0.011261165,Small,Tier 1,Supermarket Type1,1712.747639
6.36,Low Fat,0.120520818,Small,Tier 2,Supermarket Type1,1639.081024
17,Regular,0.015965308,Small,Tier 1,Supermarket Type1,1666.188822
5.78,Low Fat,0.096386227,Small,Tier 1,Supermarket Type1,1813.350203
11.5,Low Fat,0.073029341,,Tier 2,Supermarket Type1,1586.174622
,Regular,0.043443753,Medium,Tier 3,Supermarket Type3,795.0946156
18.2,Low Fat,0.049520593,Medium,Tier 3,Supermarket Type2,1251.105252
18.25,Low Fat,0.079152918,High,Tier 3,Supermarket Type1,1981.527506
12.6,Low Fat,0.048741487,High,Tier 3,Supermarket Type1,1951.227303
8.575,reg,0.071958197,Medium,Tier 1,Supermarket Type1,2022.174072
18.2,Low Fat,0.162147349,Medium,Tier 3,Supermarket Type2,1366.849622
8.115,reg,0.05382735,,Tier 3,Grocery Store,408.9947756
12.65,Low Fat,0.069565759,,Tier 2,Supermarket Type1,1579.72236
,Low Fat,0.056019324,Medium,Tier 3,Supermarket Type3,864.0300873
8.775,Low Fat,0.109911272,Small,Tier 1,Supermarket Type1,1814.417634
5.94,Regular,0.029366813,Small,Tier 2,Supermarket Type1,1482.509062
18.85,Low Fat,0.055347985,Small,Tier 2,Supermarket Type1,1562.764615
9.8,Regular,0,High,Tier 3,Supermarket Type1,1850
12.65,Regular,0.156926608,,Tier 2,Supermarket Type1,1626.856287
20.7,Low Fat,0.039405676,Medium,Tier 3,Supermarket Type2,1246.616915
14.65,Low Fat,0.170176516,High,Tier 3,Supermarket Type1,2098.255641
,Low Fat,0.033777629,Medium,Tier 3,Supermarket Type3,835.0611789
15.85,Low Fat,0.057546914,Medium,Tier 3,Supermarket Type2,1261.34501
17.25,Regular,0.160095901,,Tier 2,Supermarket Type1,1639.553547
16,Regular,0.099832728,,Tier 2,Supermarket Type1,1567.902452
6.32,Low Fat,0.012717946,Small,Tier 1,Supermarket Type1,1714.879997
6.525,LF,0.090278634,Small,Tier 2,Supermarket Type1,1597.13981
6.695,Low Fat,0,High,Tier 3,Supermarket Type1,1900
14.85,Regular,0.009958941,,Tier 2,Supermarket Type1,1461.323316
17.1,Low Fat,0.032678839,Medium,Tier 1,Supermarket Type1,2032.972949
10.3,Regular,0,High,Tier 3,Supermarket Type1,1850
19.7,Low Fat,0.077849003,High,Tier 3,Supermarket Type1,1984.232621
10.695,Regular,0.011443222,Medium,Tier 1,Supermarket Type1,1963.686094
7.285,Low Fat,0.031214809,,Tier 2,Supermarket Type1,1536.927119
17.7,LF,0.051146565,Medium,Tier 3,Supermarket Type2,1255.033704
18.25,Low Fat,0.015302653,Medium,Tier 1,Supermarket Type1,2017.904104
5.175,Regular,0.04937018,,Tier 3,Grocery Store,404.2084576
5.635,Low Fat,0,Medium,Tier 1,Supermarket Type1,2000
6.035,Low Fat,0.236433601,,Tier 3,Grocery Store,667.4064027
14.8,Low Fat,0.081372267,Medium,Tier 3,Supermarket Type2,1282.348734
18.25,Regular,0.18329488,Small,Tier 1,Supermarket Type1,1858.406279
16.1,Regular,0.06358934,Medium,Tier 3,Supermarket Type2,1223.445688
16.75,Low Fat,0.060792265,Medium,Tier 3,Supermarket Type2,1263.831878
17.7,Regular,0,Small,Tier 1,Supermarket Type1,1650
8.88,Low Fat,0.098775709,Medium,Tier 1,Supermarket Type1,2106.480214
18.2,Low Fat,0.270300331,,Tier 3,Grocery Store,689.4916545
11.15,low fat,0.119852889,High,Tier 3,Supermarket Type1,2025.725681
20,LF,0.034563936,,Tier 2,Supermarket Type1,1537.84751
7.935,Low Fat,0.031710329,High,Tier 3,Supermarket Type1,1932.629929
20.1,LF,0.074778547,,Tier 2,Supermarket Type1,1587.042229
13.65,Regular,0.013035609,Small,Tier 2,Supermarket Type1,1464.104529
6.635,Regular,0.046277956,Medium,Tier 3,Supermarket Type2,1204.885656
18.25,Low Fat,0.0793795,,Tier 2,Supermarket Type1,1584.380409
11.15,Low Fat,0.073783159,,Tier 2,Supermarket Type1,1585.145765
19.5,Low Fat,0.01572192,Small,Tier 2,Supermarket Type1,1515.942027
6.48,LF,0.033952603,Medium,Tier 1,Supermarket Type1,2036.363238
11.15,Regular,0.105220024,High,Tier 3,Supermarket Type1,1974.790948
5.985,Low Fat,0.095715608,High,Tier 3,Supermarket Type1,2011.317252
7.27,Low Fat,0.046822808,,Tier 2,Supermarket Type1,1548.789366
6.78,Regular,0,Medium,Tier 1,Supermarket Type1,1950
9.195,Regular,0.04731256,Medium,Tier 3,Supermarket Type2,1198.637312
19.5,Regular,0.077108099,High,Tier 3,Supermarket Type1,1937.363476
6.59,Low Fat,0.106027474,Medium,Tier 3,Supermarket Type2,1324.158172
7.51,Low Fat,0.01742908,Small,Tier 1,Supermarket Type1,1720.304878
,Low Fat,0.073229342,Small,Tier 1,Grocery Store,882.7491565
,Low Fat,0.157257637,Small,Tier 1,Grocery Store,968.5801869
,Low Fat,0.039988162,Medium,Tier 3,Supermarket Type3,847.6658891
12.5,Low Fat,0.081119484,Small,Tier 2,Supermarket Type1,1588.906954
17,Low Fat,0.052421981,Medium,Tier 3,Supermarket Type2,1259.761058
,Low Fat,0.070791391,Medium,Tier 3,Supermarket Type3,877.5165731
12.65,Low Fat,0.069817659,,Tier 2,Supermarket Type1,1579.94122
12.5,Regular,0.109971578,Small,Tier 2,Supermarket Type1,1566.459901
18.7,Regular,0.091950972,Medium,Tier 3,Supermarket Type2,1259.881412
11,Regular,0.133145617,Small,Tier 1,Supermarket Type1,1791.001208
,LF,0.046609281,Small,Tier 1,Grocery Store,850.0117585
7.35,Low Fat,0.028652919,,Tier 2,Supermarket Type1,1529.684424
10.895,Low Fat,0.136696892,High,Tier 3,Supermarket Type1,2058.841789
17.2,Regular,0.012002075,High,Tier 3,Supermarket Type1,1864.318475
15.5,reg,0.025513973,,Tier 2,Supermarket Type1,1480.3106
7.905,Low Fat,0.064194304,,Tier 2,Supermarket Type1,1572.090203
9.8,Low Fat,0.013920032,,Tier 2,Supermarket Type1,1515.687876
11.6,Regular,0.079251097,Medium,Tier 3,Supermarket Type2,1241.614268
,Regular,0.121043709,Medium,Tier 3,Supermarket Type3,877.8221567
,Low Fat,0.048545853,Medium,Tier 3,Supermarket Type3,854.0800802
5.825,LF,0.091467933,Small,Tier 2,Supermarket Type1,1597.230413
16.35,Low Fat,0,Medium,Tier 3,Supermarket Type2,1200
